SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,40,001,Oklahoma,Adair County,0,0,1,10046,10046,10069,10064
050,40,001,Oklahoma,Adair County,0,0,2,60,60,60,108
050,40,001,Oklahoma,Adair County,0,0,3,10149,10149,10188,10007
050,40,001,Oklahoma,Adair County,0,0,4,130,130,130,123
050,40,001,Oklahoma,Adair County,0,0,5,1,1,1,2
050,40,001,Oklahoma,Adair County,0,0,6,2297,2297,2300,2308
050,40,001,Oklahoma,Adair County,0,1,1,9569,9569,9591,9512
050,40,001,Oklahoma,Adair County,0,1,2,53,53,53,97
050,40,001,Oklahoma,Adair County,0,1,3,9536,9536,9575,9445
050,40,001,Oklahoma,Adair County,0,1,4,129,129,129,122
050,40,001,Oklahoma,Adair County,0,1,5,1,1,1,1
050,40,001,Oklahoma,Adair County,0,1,6,2198,2198,2201,2221
050,40,001,Oklahoma,Adair County,0,2,1,477,477,478,552
050,40,001,Oklahoma,Adair County,0,2,2,7,7,7,11
050,40,001,Oklahoma,Adair County,0,2,3,613,613,613,562
050,40,001,Oklahoma,Adair County,0,2,4,1,1,1,1
050,40,001,Oklahoma,Adair County,0,2,5,0,0,0,1
050,40,001,Oklahoma,Adair County,0,2,6,99,99,99,87
050,40,001,Oklahoma,Adair County,1,0,1,5039,5039,5052,5041
050,40,001,Oklahoma,Adair County,1,0,2,38,38,38,62
050,40,001,Oklahoma,Adair County,1,0,3,5026,5026,5051,4981
050,40,001,Oklahoma,Adair County,1,0,4,70,70,70,67
050,40,001,Oklahoma,Adair County,1,0,5,1,1,1,2
050,40,001,Oklahoma,Adair County,1,0,6,1174,1174,1176,1174
050,40,001,Oklahoma,Adair County,1,1,1,4775,4775,4787,4741
050,40,001,Oklahoma,Adair County,1,1,2,35,35,35,57
050,40,001,Oklahoma,Adair County,1,1,3,4671,4671,4696,4646
050,40,001,Oklahoma,Adair County,1,1,4,70,70,70,67
050,40,001,Oklahoma,Adair County,1,1,5,1,1,1,1
050,40,001,Oklahoma,Adair County,1,1,6,1118,1118,1120,1121
050,40,001,Oklahoma,Adair County,1,2,1,264,264,265,300
050,40,001,Oklahoma,Adair County,1,2,2,3,3,3,5
050,40,001,Oklahoma,Adair County,1,2,3,355,355,355,335
050,40,001,Oklahoma,Adair County,1,2,4,0,0,0,0
050,40,001,Oklahoma,Adair County,1,2,5,0,0,0,1
050,40,001,Oklahoma,Adair County,1,2,6,56,56,56,53
050,40,001,Oklahoma,Adair County,2,0,1,5007,5007,5017,5023
050,40,001,Oklahoma,Adair County,2,0,2,22,22,22,46
050,40,001,Oklahoma,Adair County,2,0,3,5123,5123,5137,5026
050,40,001,Oklahoma,Adair County,2,0,4,60,60,60,56
050,40,001,Oklahoma,Adair County,2,0,5,0,0,0,0
050,40,001,Oklahoma,Adair County,2,0,6,1123,1123,1124,1134
050,40,001,Oklahoma,Adair County,2,1,1,4794,4794,4804,4771
050,40,001,Oklahoma,Adair County,2,1,2,18,18,18,40
050,40,001,Oklahoma,Adair County,2,1,3,4865,4865,4879,4799
050,40,001,Oklahoma,Adair County,2,1,4,59,59,59,55
050,40,001,Oklahoma,Adair County,2,1,5,0,0,0,0
050,40,001,Oklahoma,Adair County,2,1,6,1080,1080,1081,1100
050,40,001,Oklahoma,Adair County,2,2,1,213,213,213,252
050,40,001,Oklahoma,Adair County,2,2,2,4,4,4,6
050,40,001,Oklahoma,Adair County,2,2,3,258,258,258,227
050,40,001,Oklahoma,Adair County,2,2,4,1,1,1,1
050,40,001,Oklahoma,Adair County,2,2,5,0,0,0,0
050,40,001,Oklahoma,Adair County,2,2,6,43,43,43,34
050,40,003,Oklahoma,Alfalfa County,0,0,1,5116,5116,5117,5092
050,40,003,Oklahoma,Alfalfa County,0,0,2,232,232,232,258
050,40,003,Oklahoma,Alfalfa County,0,0,3,172,172,172,183
050,40,003,Oklahoma,Alfalfa County,0,0,4,15,15,15,15
050,40,003,Oklahoma,Alfalfa County,0,0,5,1,1,1,1
050,40,003,Oklahoma,Alfalfa County,0,0,6,106,106,106,113
050,40,003,Oklahoma,Alfalfa County,0,1,1,4932,4932,4933,4880
050,40,003,Oklahoma,Alfalfa County,0,1,2,225,225,225,245
050,40,003,Oklahoma,Alfalfa County,0,1,3,151,151,151,159
050,40,003,Oklahoma,Alfalfa County,0,1,4,11,11,11,11
050,40,003,Oklahoma,Alfalfa County,0,1,5,0,0,0,0
050,40,003,Oklahoma,Alfalfa County,0,1,6,99,99,99,104
050,40,003,Oklahoma,Alfalfa County,0,2,1,184,184,184,212
050,40,003,Oklahoma,Alfalfa County,0,2,2,7,7,7,13
050,40,003,Oklahoma,Alfalfa County,0,2,3,21,21,21,24
050,40,003,Oklahoma,Alfalfa County,0,2,4,4,4,4,4
050,40,003,Oklahoma,Alfalfa County,0,2,5,1,1,1,1
050,40,003,Oklahoma,Alfalfa County,0,2,6,7,7,7,9
050,40,003,Oklahoma,Alfalfa County,1,0,1,2888,2888,2891,2912
050,40,003,Oklahoma,Alfalfa County,1,0,2,230,230,230,241
050,40,003,Oklahoma,Alfalfa County,1,0,3,123,123,123,129
050,40,003,Oklahoma,Alfalfa County,1,0,4,11,11,11,11
050,40,003,Oklahoma,Alfalfa County,1,0,5,1,1,1,1
050,40,003,Oklahoma,Alfalfa County,1,0,6,70,70,70,73
050,40,003,Oklahoma,Alfalfa County,1,1,1,2753,2753,2756,2762
050,40,003,Oklahoma,Alfalfa County,1,1,2,224,224,224,234
050,40,003,Oklahoma,Alfalfa County,1,1,3,110,110,110,116
050,40,003,Oklahoma,Alfalfa County,1,1,4,9,9,9,9
050,40,003,Oklahoma,Alfalfa County,1,1,5,0,0,0,0
050,40,003,Oklahoma,Alfalfa County,1,1,6,68,68,68,69
050,40,003,Oklahoma,Alfalfa County,1,2,1,135,135,135,150
050,40,003,Oklahoma,Alfalfa County,1,2,2,6,6,6,7
050,40,003,Oklahoma,Alfalfa County,1,2,3,13,13,13,13
050,40,003,Oklahoma,Alfalfa County,1,2,4,2,2,2,2
050,40,003,Oklahoma,Alfalfa County,1,2,5,1,1,1,1
050,40,003,Oklahoma,Alfalfa County,1,2,6,2,2,2,4
050,40,003,Oklahoma,Alfalfa County,2,0,1,2228,2228,2226,2180
050,40,003,Oklahoma,Alfalfa County,2,0,2,2,2,2,17
050,40,003,Oklahoma,Alfalfa County,2,0,3,49,49,49,54
050,40,003,Oklahoma,Alfalfa County,2,0,4,4,4,4,4
050,40,003,Oklahoma,Alfalfa County,2,0,5,0,0,0,0
050,40,003,Oklahoma,Alfalfa County,2,0,6,36,36,36,40
050,40,003,Oklahoma,Alfalfa County,2,1,1,2179,2179,2177,2118
050,40,003,Oklahoma,Alfalfa County,2,1,2,1,1,1,11
050,40,003,Oklahoma,Alfalfa County,2,1,3,41,41,41,43
050,40,003,Oklahoma,Alfalfa County,2,1,4,2,2,2,2
050,40,003,Oklahoma,Alfalfa County,2,1,5,0,0,0,0
050,40,003,Oklahoma,Alfalfa County,2,1,6,31,31,31,35
050,40,003,Oklahoma,Alfalfa County,2,2,1,49,49,49,62
050,40,003,Oklahoma,Alfalfa County,2,2,2,1,1,1,6
050,40,003,Oklahoma,Alfalfa County,2,2,3,8,8,8,11
050,40,003,Oklahoma,Alfalfa County,2,2,4,2,2,2,2
050,40,003,Oklahoma,Alfalfa County,2,2,5,0,0,0,0
050,40,003,Oklahoma,Alfalfa County,2,2,6,5,5,5,5
050,40,005,Oklahoma,Atoka County,0,0,1,10583,10585,10614,10552
050,40,005,Oklahoma,Atoka County,0,0,2,533,533,533,573
050,40,005,Oklahoma,Atoka County,0,0,3,2013,2014,2014,2027
050,40,005,Oklahoma,Atoka County,0,0,4,55,55,55,65
050,40,005,Oklahoma,Atoka County,0,0,5,7,7,7,7
050,40,005,Oklahoma,Atoka County,0,0,6,991,991,992,982
050,40,005,Oklahoma,Atoka County,0,1,1,10326,10328,10357,10230
050,40,005,Oklahoma,Atoka County,0,1,2,528,528,528,565
050,40,005,Oklahoma,Atoka County,0,1,3,1904,1905,1905,1893
050,40,005,Oklahoma,Atoka County,0,1,4,55,55,55,64
050,40,005,Oklahoma,Atoka County,0,1,5,7,7,7,7
050,40,005,Oklahoma,Atoka County,0,1,6,953,953,954,944
050,40,005,Oklahoma,Atoka County,0,2,1,257,257,257,322
050,40,005,Oklahoma,Atoka County,0,2,2,5,5,5,8
050,40,005,Oklahoma,Atoka County,0,2,3,109,109,109,134
050,40,005,Oklahoma,Atoka County,0,2,4,0,0,0,1
050,40,005,Oklahoma,Atoka County,0,2,5,0,0,0,0
050,40,005,Oklahoma,Atoka County,0,2,6,38,38,38,38
050,40,005,Oklahoma,Atoka County,1,0,1,5491,5492,5508,5475
050,40,005,Oklahoma,Atoka County,1,0,2,378,378,378,397
050,40,005,Oklahoma,Atoka County,1,0,3,1019,1019,1019,1023
050,40,005,Oklahoma,Atoka County,1,0,4,23,23,23,28
050,40,005,Oklahoma,Atoka County,1,0,5,5,5,5,5
050,40,005,Oklahoma,Atoka County,1,0,6,468,468,469,495
050,40,005,Oklahoma,Atoka County,1,1,1,5328,5329,5345,5286
050,40,005,Oklahoma,Atoka County,1,1,2,373,373,373,389
050,40,005,Oklahoma,Atoka County,1,1,3,962,962,962,951
050,40,005,Oklahoma,Atoka County,1,1,4,23,23,23,28
050,40,005,Oklahoma,Atoka County,1,1,5,5,5,5,5
050,40,005,Oklahoma,Atoka County,1,1,6,446,446,447,473
050,40,005,Oklahoma,Atoka County,1,2,1,163,163,163,189
050,40,005,Oklahoma,Atoka County,1,2,2,5,5,5,8
050,40,005,Oklahoma,Atoka County,1,2,3,57,57,57,72
050,40,005,Oklahoma,Atoka County,1,2,4,0,0,0,0
050,40,005,Oklahoma,Atoka County,1,2,5,0,0,0,0
050,40,005,Oklahoma,Atoka County,1,2,6,22,22,22,22
050,40,005,Oklahoma,Atoka County,2,0,1,5092,5093,5106,5077
050,40,005,Oklahoma,Atoka County,2,0,2,155,155,155,176
050,40,005,Oklahoma,Atoka County,2,0,3,994,995,995,1004
050,40,005,Oklahoma,Atoka County,2,0,4,32,32,32,37
050,40,005,Oklahoma,Atoka County,2,0,5,2,2,2,2
050,40,005,Oklahoma,Atoka County,2,0,6,523,523,523,487
050,40,005,Oklahoma,Atoka County,2,1,1,4998,4999,5012,4944
050,40,005,Oklahoma,Atoka County,2,1,2,155,155,155,176
050,40,005,Oklahoma,Atoka County,2,1,3,942,943,943,942
050,40,005,Oklahoma,Atoka County,2,1,4,32,32,32,36
050,40,005,Oklahoma,Atoka County,2,1,5,2,2,2,2
050,40,005,Oklahoma,Atoka County,2,1,6,507,507,507,471
050,40,005,Oklahoma,Atoka County,2,2,1,94,94,94,133
050,40,005,Oklahoma,Atoka County,2,2,2,0,0,0,0
050,40,005,Oklahoma,Atoka County,2,2,3,52,52,52,62
050,40,005,Oklahoma,Atoka County,2,2,4,0,0,0,1
050,40,005,Oklahoma,Atoka County,2,2,5,0,0,0,0
050,40,005,Oklahoma,Atoka County,2,2,6,16,16,16,16
050,40,007,Oklahoma,Beaver County,0,0,1,5384,5384,5398,5339
050,40,007,Oklahoma,Beaver County,0,0,2,45,45,45,51
050,40,007,Oklahoma,Beaver County,0,0,3,83,83,83,97
050,40,007,Oklahoma,Beaver County,0,0,4,11,11,11,14
050,40,007,Oklahoma,Beaver County,0,0,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,0,0,6,113,113,113,123
050,40,007,Oklahoma,Beaver County,0,1,1,4324,4324,4333,4270
050,40,007,Oklahoma,Beaver County,0,1,2,31,31,31,33
050,40,007,Oklahoma,Beaver County,0,1,3,55,55,55,65
050,40,007,Oklahoma,Beaver County,0,1,4,7,7,7,8
050,40,007,Oklahoma,Beaver County,0,1,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,0,1,6,84,84,84,94
050,40,007,Oklahoma,Beaver County,0,2,1,1060,1060,1065,1069
050,40,007,Oklahoma,Beaver County,0,2,2,14,14,14,18
050,40,007,Oklahoma,Beaver County,0,2,3,28,28,28,32
050,40,007,Oklahoma,Beaver County,0,2,4,4,4,4,6
050,40,007,Oklahoma,Beaver County,0,2,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,0,2,6,29,29,29,29
050,40,007,Oklahoma,Beaver County,1,0,1,2742,2742,2752,2707
050,40,007,Oklahoma,Beaver County,1,0,2,26,26,26,29
050,40,007,Oklahoma,Beaver County,1,0,3,42,42,42,46
050,40,007,Oklahoma,Beaver County,1,0,4,4,4,4,6
050,40,007,Oklahoma,Beaver County,1,0,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,1,0,6,56,56,56,62
050,40,007,Oklahoma,Beaver County,1,1,1,2183,2183,2188,2137
050,40,007,Oklahoma,Beaver County,1,1,2,17,17,17,19
050,40,007,Oklahoma,Beaver County,1,1,3,29,29,29,33
050,40,007,Oklahoma,Beaver County,1,1,4,1,1,1,2
050,40,007,Oklahoma,Beaver County,1,1,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,1,1,6,43,43,43,49
050,40,007,Oklahoma,Beaver County,1,2,1,559,559,564,570
050,40,007,Oklahoma,Beaver County,1,2,2,9,9,9,10
050,40,007,Oklahoma,Beaver County,1,2,3,13,13,13,13
050,40,007,Oklahoma,Beaver County,1,2,4,3,3,3,4
050,40,007,Oklahoma,Beaver County,1,2,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,1,2,6,13,13,13,13
050,40,007,Oklahoma,Beaver County,2,0,1,2642,2642,2646,2632
050,40,007,Oklahoma,Beaver County,2,0,2,19,19,19,22
050,40,007,Oklahoma,Beaver County,2,0,3,41,41,41,51
050,40,007,Oklahoma,Beaver County,2,0,4,7,7,7,8
050,40,007,Oklahoma,Beaver County,2,0,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,2,0,6,57,57,57,61
050,40,007,Oklahoma,Beaver County,2,1,1,2141,2141,2145,2133
050,40,007,Oklahoma,Beaver County,2,1,2,14,14,14,14
050,40,007,Oklahoma,Beaver County,2,1,3,26,26,26,32
050,40,007,Oklahoma,Beaver County,2,1,4,6,6,6,6
050,40,007,Oklahoma,Beaver County,2,1,5,0,0,0,0
050,40,007,Oklahoma,Beaver County,2,1,6,41,41,41,45
050,40,007,Oklahoma,Beaver County,2,2,1,501,501,501,499
050,40,007,Oklahoma,Beaver County,2,2,2,5,5,5,8
