SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,55,001,Wisconsin,Adams County,0,0,1,19696,19696,19680,19509
050,55,001,Wisconsin,Adams County,0,0,2,654,654,654,675
050,55,001,Wisconsin,Adams County,0,0,3,222,222,222,229
050,55,001,Wisconsin,Adams County,0,0,4,85,85,85,89
050,55,001,Wisconsin,Adams County,0,0,5,6,6,6,6
050,55,001,Wisconsin,Adams County,0,0,6,212,212,212,225
050,55,001,Wisconsin,Adams County,0,1,1,19025,19025,19009,18843
050,55,001,Wisconsin,Adams County,0,1,2,618,618,618,636
050,55,001,Wisconsin,Adams County,0,1,3,180,180,180,187
050,55,001,Wisconsin,Adams County,0,1,4,80,80,80,82
050,55,001,Wisconsin,Adams County,0,1,5,4,4,4,4
050,55,001,Wisconsin,Adams County,0,1,6,185,185,185,196
050,55,001,Wisconsin,Adams County,0,2,1,671,671,671,666
050,55,001,Wisconsin,Adams County,0,2,2,36,36,36,39
050,55,001,Wisconsin,Adams County,0,2,3,42,42,42,42
050,55,001,Wisconsin,Adams County,0,2,4,5,5,5,7
050,55,001,Wisconsin,Adams County,0,2,5,2,2,2,2
050,55,001,Wisconsin,Adams County,0,2,6,27,27,27,29
050,55,001,Wisconsin,Adams County,1,0,1,10299,10299,10294,10222
050,55,001,Wisconsin,Adams County,1,0,2,616,616,616,624
050,55,001,Wisconsin,Adams County,1,0,3,141,141,141,147
050,55,001,Wisconsin,Adams County,1,0,4,50,50,50,56
050,55,001,Wisconsin,Adams County,1,0,5,5,5,5,5
050,55,001,Wisconsin,Adams County,1,0,6,110,110,110,115
050,55,001,Wisconsin,Adams County,1,1,1,9814,9814,9809,9747
050,55,001,Wisconsin,Adams County,1,1,2,582,582,582,590
050,55,001,Wisconsin,Adams County,1,1,3,114,114,114,120
050,55,001,Wisconsin,Adams County,1,1,4,45,45,45,49
050,55,001,Wisconsin,Adams County,1,1,5,3,3,3,3
050,55,001,Wisconsin,Adams County,1,1,6,95,95,95,99
050,55,001,Wisconsin,Adams County,1,2,1,485,485,485,475
050,55,001,Wisconsin,Adams County,1,2,2,34,34,34,34
050,55,001,Wisconsin,Adams County,1,2,3,27,27,27,27
050,55,001,Wisconsin,Adams County,1,2,4,5,5,5,7
050,55,001,Wisconsin,Adams County,1,2,5,2,2,2,2
050,55,001,Wisconsin,Adams County,1,2,6,15,15,15,16
050,55,001,Wisconsin,Adams County,2,0,1,9397,9397,9386,9287
050,55,001,Wisconsin,Adams County,2,0,2,38,38,38,51
050,55,001,Wisconsin,Adams County,2,0,3,81,81,81,82
050,55,001,Wisconsin,Adams County,2,0,4,35,35,35,33
050,55,001,Wisconsin,Adams County,2,0,5,1,1,1,1
050,55,001,Wisconsin,Adams County,2,0,6,102,102,102,110
050,55,001,Wisconsin,Adams County,2,1,1,9211,9211,9200,9096
050,55,001,Wisconsin,Adams County,2,1,2,36,36,36,46
050,55,001,Wisconsin,Adams County,2,1,3,66,66,66,67
050,55,001,Wisconsin,Adams County,2,1,4,35,35,35,33
050,55,001,Wisconsin,Adams County,2,1,5,1,1,1,1
050,55,001,Wisconsin,Adams County,2,1,6,90,90,90,97
050,55,001,Wisconsin,Adams County,2,2,1,186,186,186,191
050,55,001,Wisconsin,Adams County,2,2,2,2,2,2,5
050,55,001,Wisconsin,Adams County,2,2,3,15,15,15,15
050,55,001,Wisconsin,Adams County,2,2,4,0,0,0,0
050,55,001,Wisconsin,Adams County,2,2,5,0,0,0,0
050,55,001,Wisconsin,Adams County,2,2,6,12,12,12,13
050,55,003,Wisconsin,Ashland County,0,0,1,13718,13718,13746,13680
050,55,003,Wisconsin,Ashland County,0,0,2,49,49,49,65
050,55,003,Wisconsin,Ashland County,0,0,3,1817,1817,1817,1822
