SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,02,013,Alaska,Aleutians East Borough,0,0,1,761,761,761,795
050,02,013,Alaska,Aleutians East Borough,0,0,2,223,223,223,235
050,02,013,Alaska,Aleutians East Borough,0,0,3,882,882,896,800
050,02,013,Alaska,Aleutians East Borough,0,0,4,1143,1143,1143,1198
050,02,013,Alaska,Aleutians East Borough,0,0,5,19,19,19,20
050,02,013,Alaska,Aleutians East Borough,0,0,6,113,113,113,124
050,02,013,Alaska,Aleutians East Borough,0,1,1,426,426,426,446
050,02,013,Alaska,Aleutians East Borough,0,1,2,214,214,214,226
050,02,013,Alaska,Aleutians East Borough,0,1,3,870,870,884,788
050,02,013,Alaska,Aleutians East Borough,0,1,4,1120,1120,1120,1173
050,02,013,Alaska,Aleutians East Borough,0,1,5,19,19,19,20
050,02,013,Alaska,Aleutians East Borough,0,1,6,107,107,107,113
050,02,013,Alaska,Aleutians East Borough,0,2,1,335,335,335,349
050,02,013,Alaska,Aleutians East Borough,0,2,2,9,9,9,9
050,02,013,Alaska,Aleutians East Borough,0,2,3,12,12,12,12
050,02,013,Alaska,Aleutians East Borough,0,2,4,23,23,23,25
050,02,013,Alaska,Aleutians East Borough,0,2,5,0,0,0,0
050,02,013,Alaska,Aleutians East Borough,0,2,6,6,6,6,11
050,02,013,Alaska,Aleutians East Borough,1,0,1,558,558,558,585
050,02,013,Alaska,Aleutians East Borough,1,0,2,205,205,205,214
050,02,013,Alaska,Aleutians East Borough,1,0,3,475,475,485,434
050,02,013,Alaska,Aleutians East Borough,1,0,4,775,775,775,810
050,02,013,Alaska,Aleutians East Borough,1,0,5,8,8,8,8
050,02,013,Alaska,Aleutians East Borough,1,0,6,72,72,72,80
050,02,013,Alaska,Aleutians East Borough,1,1,1,285,285,285,299
050,02,013,Alaska,Aleutians East Borough,1,1,2,197,197,197,206
050,02,013,Alaska,Aleutians East Borough,1,1,3,466,466,476,425
050,02,013,Alaska,Aleutians East Borough,1,1,4,758,758,758,793
050,02,013,Alaska,Aleutians East Borough,1,1,5,8,8,8,8
050,02,013,Alaska,Aleutians East Borough,1,1,6,68,68,68,74
050,02,013,Alaska,Aleutians East Borough,1,2,1,273,273,273,286
050,02,013,Alaska,Aleutians East Borough,1,2,2,8,8,8,8
050,02,013,Alaska,Aleutians East Borough,1,2,3,9,9,9,9
050,02,013,Alaska,Aleutians East Borough,1,2,4,17,17,17,17
050,02,013,Alaska,Aleutians East Borough,1,2,5,0,0,0,0
050,02,013,Alaska,Aleutians East Borough,1,2,6,4,4,4,6
050,02,013,Alaska,Aleutians East Borough,2,0,1,203,203,203,210
050,02,013,Alaska,Aleutians East Borough,2,0,2,18,18,18,21
050,02,013,Alaska,Aleutians East Borough,2,0,3,407,407,411,366
050,02,013,Alaska,Aleutians East Borough,2,0,4,368,368,368,388
050,02,013,Alaska,Aleutians East Borough,2,0,5,11,11,11,12
050,02,013,Alaska,Aleutians East Borough,2,0,6,41,41,41,44
050,02,013,Alaska,Aleutians East Borough,2,1,1,141,141,141,147
050,02,013,Alaska,Aleutians East Borough,2,1,2,17,17,17,20
050,02,013,Alaska,Aleutians East Borough,2,1,3,404,404,408,363
050,02,013,Alaska,Aleutians East Borough,2,1,4,362,362,362,380
050,02,013,Alaska,Aleutians East Borough,2,1,5,11,11,11,12
050,02,013,Alaska,Aleutians East Borough,2,1,6,39,39,39,39
050,02,013,Alaska,Aleutians East Borough,2,2,1,62,62,62,63
050,02,013,Alaska,Aleutians East Borough,2,2,2,1,1,1,1
050,02,013,Alaska,Aleutians East Borough,2,2,3,3,3,3,3
050,02,013,Alaska,Aleutians East Borough,2,2,4,6,6,6,8
050,02,013,Alaska,Aleutians East Borough,2,2,5,0,0,0,0
050,02,013,Alaska,Aleutians East Borough,2,2,6,2,2,2,5
050,02,016,Alaska,Aleutians West Census Area,0,0,1,2306,2306,2288,2272
050,02,016,Alaska,Aleutians West Census Area,0,0,2,348,348,348,372
050,02,016,Alaska,Aleutians West Census Area,0,0,3,880,880,883,850
050,02,016,Alaska,Aleutians West Census Area,0,0,4,1669,1669,1668,1649
050,02,016,Alaska,Aleutians West Census Area,0,0,5,107,107,107,109
050,02,016,Alaska,Aleutians West Census Area,0,0,6,251,251,251,252
050,02,016,Alaska,Aleutians West Census Area,0,1,1,1746,1746,1728,1681
050,02,016,Alaska,Aleutians West Census Area,0,1,2,322,322,322,344
050,02,016,Alaska,Aleutians West Census Area,0,1,3,842,842,845,807
050,02,016,Alaska,Aleutians West Census Area,0,1,4,1599,1599,1598,1577
050,02,016,Alaska,Aleutians West Census Area,0,1,5,102,102,102,104
050,02,016,Alaska,Aleutians West Census Area,0,1,6,224,224,224,222
050,02,016,Alaska,Aleutians West Census Area,0,2,1,560,560,560,591
050,02,016,Alaska,Aleutians West Census Area,0,2,2,26,26,26,28
050,02,016,Alaska,Aleutians West Census Area,0,2,3,38,38,38,43
050,02,016,Alaska,Aleutians West Census Area,0,2,4,70,70,70,72
050,02,016,Alaska,Aleutians West Census Area,0,2,5,5,5,5,5
050,02,016,Alaska,Aleutians West Census Area,0,2,6,27,27,27,30
050,02,016,Alaska,Aleutians West Census Area,1,0,1,1635,1635,1622,1626
050,02,016,Alaska,Aleutians West Census Area,1,0,2,317,317,317,337
