SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,04,001,Arizona,Apache County,0,0,1,17562,17562,17577,18095
050,04,001,Arizona,Apache County,0,0,2,182,182,185,743
050,04,001,Arizona,Apache County,0,0,3,52342,52342,52430,51836
050,04,001,Arizona,Apache County,0,0,4,223,223,226,300
050,04,001,Arizona,Apache County,0,0,5,26,26,28,39
050,04,001,Arizona,Apache County,0,0,6,1183,1183,1188,1388
050,04,001,Arizona,Apache County,0,1,1,14590,14590,14602,14625
050,04,001,Arizona,Apache County,0,1,2,157,157,159,670
050,04,001,Arizona,Apache County,0,1,3,51389,51389,51472,50716
050,04,001,Arizona,Apache County,0,1,4,190,190,192,257
050,04,001,Arizona,Apache County,0,1,5,24,24,24,32
050,04,001,Arizona,Apache County,0,1,6,1055,1055,1057,1207
050,04,001,Arizona,Apache County,0,2,1,2972,2972,2975,3470
050,04,001,Arizona,Apache County,0,2,2,25,25,26,73
050,04,001,Arizona,Apache County,0,2,3,953,953,958,1120
050,04,001,Arizona,Apache County,0,2,4,33,33,34,43
050,04,001,Arizona,Apache County,0,2,5,2,2,4,7
050,04,001,Arizona,Apache County,0,2,6,128,128,131,181
050,04,001,Arizona,Apache County,1,0,1,8999,8999,9008,9267
050,04,001,Arizona,Apache County,1,0,2,123,123,125,387
050,04,001,Arizona,Apache County,1,0,3,25798,25798,25837,25548
050,04,001,Arizona,Apache County,1,0,4,97,97,100,125
050,04,001,Arizona,Apache County,1,0,5,18,18,19,26
050,04,001,Arizona,Apache County,1,0,6,643,643,644,730
050,04,001,Arizona,Apache County,1,1,1,7403,7403,7411,7410
050,04,001,Arizona,Apache County,1,1,2,114,114,115,363
050,04,001,Arizona,Apache County,1,1,3,25311,25311,25348,24947
050,04,001,Arizona,Apache County,1,1,4,81,81,83,107
050,04,001,Arizona,Apache County,1,1,5,17,17,17,23
050,04,001,Arizona,Apache County,1,1,6,567,567,567,628
050,04,001,Arizona,Apache County,1,2,1,1596,1596,1597,1857
050,04,001,Arizona,Apache County,1,2,2,9,9,10,24
050,04,001,Arizona,Apache County,1,2,3,487,487,489,601
050,04,001,Arizona,Apache County,1,2,4,16,16,17,18
050,04,001,Arizona,Apache County,1,2,5,1,1,2,3
050,04,001,Arizona,Apache County,1,2,6,76,76,77,102
050,04,001,Arizona,Apache County,2,0,1,8563,8563,8569,8828
050,04,001,Arizona,Apache County,2,0,2,59,59,60,356
050,04,001,Arizona,Apache County,2,0,3,26544,26544,26593,26288
050,04,001,Arizona,Apache County,2,0,4,126,126,126,175
050,04,001,Arizona,Apache County,2,0,5,8,8,9,13
050,04,001,Arizona,Apache County,2,0,6,540,540,544,658
050,04,001,Arizona,Apache County,2,1,1,7187,7187,7191,7215
050,04,001,Arizona,Apache County,2,1,2,43,43,44,307
050,04,001,Arizona,Apache County,2,1,3,26078,26078,26124,25769
050,04,001,Arizona,Apache County,2,1,4,109,109,109,150
050,04,001,Arizona,Apache County,2,1,5,7,7,7,9
050,04,001,Arizona,Apache County,2,1,6,488,488,490,579
050,04,001,Arizona,Apache County,2,2,1,1376,1376,1378,1613
050,04,001,Arizona,Apache County,2,2,2,16,16,16,49
050,04,001,Arizona,Apache County,2,2,3,466,466,469,519
050,04,001,Arizona,Apache County,2,2,4,17,17,17,25
050,04,001,Arizona,Apache County,2,2,5,1,1,2,4
050,04,001,Arizona,Apache County,2,2,6,52,52,54,79
050,04,003,Arizona,Cochise County,0,0,1,116276,116276,116626,117442
050,04,003,Arizona,Cochise County,0,0,2,5834,5834,5827,6367
050,04,003,Arizona,Cochise County,0,0,3,2160,2160,2162,2233
050,04,003,Arizona,Cochise County,0,0,4,2691,2691,2705,2770
050,04,003,Arizona,Cochise County,0,0,5,492,492,493,506
050,04,003,Arizona,Cochise County,0,0,6,3893,3893,3910,3971
050,04,003,Arizona,Cochise County,0,1,1,77079,77079,77138,77386
050,04,003,Arizona,Cochise County,0,1,2,4967,4967,4959,5466
050,04,003,Arizona,Cochise County,0,1,3,1006,1006,1007,1066
050,04,003,Arizona,Cochise County,0,1,4,2427,2427,2441,2506
050,04,003,Arizona,Cochise County,0,1,5,383,383,384,392
050,04,003,Arizona,Cochise County,0,1,6,2941,2941,2957,2979
050,04,003,Arizona,Cochise County,0,2,1,39197,39197,39488,40056
050,04,003,Arizona,Cochise County,0,2,2,867,867,868,901
050,04,003,Arizona,Cochise County,0,2,3,1154,1154,1155,1167
050,04,003,Arizona,Cochise County,0,2,4,264,264,264,264
050,04,003,Arizona,Cochise County,0,2,5,109,109,109,114
050,04,003,Arizona,Cochise County,0,2,6,952,952,953,992
050,04,003,Arizona,Cochise County,1,0,1,59166,59166,59301,59860
050,04,003,Arizona,Cochise County,1,0,2,3381,3381,3373,3607
050,04,003,Arizona,Cochise County,1,0,3,1206,1206,1207,1235
050,04,003,Arizona,Cochise County,1,0,4,1004,1004,1002,1021
050,04,003,Arizona,Cochise County,1,0,5,245,245,245,245
050,04,003,Arizona,Cochise County,1,0,6,1975,1975,1987,2048
050,04,003,Arizona,Cochise County,1,1,1,39784,39784,39786,39967
050,04,003,Arizona,Cochise County,1,1,2,2942,2942,2934,3159
050,04,003,Arizona,Cochise County,1,1,3,593,593,594,626
050,04,003,Arizona,Cochise County,1,1,4,875,875,873,891
050,04,003,Arizona,Cochise County,1,1,5,183,183,183,182
050,04,003,Arizona,Cochise County,1,1,6,1479,1479,1490,1521
050,04,003,Arizona,Cochise County,1,2,1,19382,19382,19515,19893
050,04,003,Arizona,Cochise County,1,2,2,439,439,439,448
050,04,003,Arizona,Cochise County,1,2,3,613,613,613,609
050,04,003,Arizona,Cochise County,1,2,4,129,129,129,130
050,04,003,Arizona,Cochise County,1,2,5,62,62,62,63
050,04,003,Arizona,Cochise County,1,2,6,496,496,497,527
050,04,003,Arizona,Cochise County,2,0,1,57110,57110,57325,57582
050,04,003,Arizona,Cochise County,2,0,2,2453,2453,2454,2760
050,04,003,Arizona,Cochise County,2,0,3,954,954,955,998
050,04,003,Arizona,Cochise County,2,0,4,1687,1687,1703,1749
050,04,003,Arizona,Cochise County,2,0,5,247,247,248,261
050,04,003,Arizona,Cochise County,2,0,6,1918,1918,1923,1923
050,04,003,Arizona,Cochise County,2,1,1,37295,37295,37352,37419
050,04,003,Arizona,Cochise County,2,1,2,2025,2025,2025,2307
050,04,003,Arizona,Cochise County,2,1,3,413,413,413,440
050,04,003,Arizona,Cochise County,2,1,4,1552,1552,1568,1615
050,04,003,Arizona,Cochise County,2,1,5,200,200,201,210
050,04,003,Arizona,Cochise County,2,1,6,1462,1462,1467,1458
050,04,003,Arizona,Cochise County,2,2,1,19815,19815,19973,20163
050,04,003,Arizona,Cochise County,2,2,2,428,428,429,453
050,04,003,Arizona,Cochise County,2,2,3,541,541,542,558
050,04,003,Arizona,Cochise County,2,2,4,135,135,135,134
050,04,003,Arizona,Cochise County,2,2,5,47,47,47,51
050,04,003,Arizona,Cochise County,2,2,6,456,456,456,465
050,04,005,Arizona,Coconino County,0,0,1,89628,89626,89644,89587
050,04,005,Arizona,Coconino County,0,0,2,1787,1787,1798,2107
050,04,005,Arizona,Coconino County,0,0,3,37500,37499,37439,36890
050,04,005,Arizona,Coconino County,0,0,4,1938,1938,2074,2115
050,04,005,Arizona,Coconino County,0,0,5,202,202,244,256
050,04,005,Arizona,Coconino County,0,0,6,3366,3366,3407,3556
050,04,005,Arizona,Coconino County,0,1,1,74414,74412,74298,74026
050,04,005,Arizona,Coconino County,0,1,2,1509,1509,1520,1801
050,04,005,Arizona,Coconino County,0,1,3,35657,35656,35594,34987
050,04,005,Arizona,Coconino County,0,1,4,1803,1803,1939,1967
050,04,005,Arizona,Coconino County,0,1,5,138,138,163,166
050,04,005,Arizona,Coconino County,0,1,6,2734,2734,2775,2893
050,04,005,Arizona,Coconino County,0,2,1,15214,15214,15346,15561
050,04,005,Arizona,Coconino County,0,2,2,278,278,278,306
050,04,005,Arizona,Coconino County,0,2,3,1843,1843,1845,1903
050,04,005,Arizona,Coconino County,0,2,4,135,135,135,148
050,04,005,Arizona,Coconino County,0,2,5,64,64,81,90
050,04,005,Arizona,Coconino County,0,2,6,632,632,632,663
050,04,005,Arizona,Coconino County,1,0,1,45050,45049,45034,44875
050,04,005,Arizona,Coconino County,1,0,2,925,925,927,1080
050,04,005,Arizona,Coconino County,1,0,3,18045,18045,18024,17720
050,04,005,Arizona,Coconino County,1,0,4,829,829,920,933
050,04,005,Arizona,Coconino County,1,0,5,103,103,103,109
050,04,005,Arizona,Coconino County,1,0,6,1714,1714,1716,1777
050,04,005,Arizona,Coconino County,1,1,1,37442,37441,37380,37124
050,04,005,Arizona,Coconino County,1,1,2,799,799,801,944
050,04,005,Arizona,Coconino County,1,1,3,17041,17041,17017,16701
050,04,005,Arizona,Coconino County,1,1,4,754,754,845,849
050,04,005,Arizona,Coconino County,1,1,5,73,73,73,72
050,04,005,Arizona,Coconino County,1,1,6,1400,1400,1402,1443
050,04,005,Arizona,Coconino County,1,2,1,7608,7608,7654,7751
050,04,005,Arizona,Coconino County,1,2,2,126,126,126,136
050,04,005,Arizona,Coconino County,1,2,3,1004,1004,1007,1019
050,04,005,Arizona,Coconino County,1,2,4,75,75,75,84
050,04,005,Arizona,Coconino County,1,2,5,30,30,30,37
050,04,005,Arizona,Coconino County,1,2,6,314,314,314,334
050,04,005,Arizona,Coconino County,2,0,1,44578,44577,44610,44712
050,04,005,Arizona,Coconino County,2,0,2,862,862,871,1027
050,04,005,Arizona,Coconino County,2,0,3,19455,19454,19415,19170
050,04,005,Arizona,Coconino County,2,0,4,1109,1109,1154,1182
050,04,005,Arizona,Coconino County,2,0,5,99,99,141,147
050,04,005,Arizona,Coconino County,2,0,6,1652,1652,1691,1779
050,04,005,Arizona,Coconino County,2,1,1,36972,36971,36918,36902
050,04,005,Arizona,Coconino County,2,1,2,710,710,719,857
050,04,005,Arizona,Coconino County,2,1,3,18616,18615,18577,18286
050,04,005,Arizona,Coconino County,2,1,4,1049,1049,1094,1118
050,04,005,Arizona,Coconino County,2,1,5,65,65,90,94
050,04,005,Arizona,Coconino County,2,1,6,1334,1334,1373,1450
050,04,005,Arizona,Coconino County,2,2,1,7606,7606,7692,7810
050,04,005,Arizona,Coconino County,2,2,2,152,152,152,170
050,04,005,Arizona,Coconino County,2,2,3,839,839,838,884
050,04,005,Arizona,Coconino County,2,2,4,60,60,60,64
050,04,005,Arizona,Coconino County,2,2,5,34,34,51,53
050,04,005,Arizona,Coconino County,2,2,6,318,318,318,329
050,04,007,Arizona,Gila County,0,0,1,44188,44188,44109,43394
050,04,007,Arizona,Gila County,0,0,2,265,265,265,383
050,04,007,Arizona,Gila County,0,0,3,8064,8064,8051,8178
050,04,007,Arizona,Gila County,0,0,4,289,289,289,315
050,04,007,Arizona,Gila County,0,0,5,52,52,52,57
050,04,007,Arizona,Gila County,0,0,6,739,739,739,817
050,04,007,Arizona,Gila County,0,1,1,35359,35359,35246,34440
050,04,007,Arizona,Gila County,0,1,2,196,196,196,301
050,04,007,Arizona,Gila County,0,1,3,7621,7621,7608,7708
050,04,007,Arizona,Gila County,0,1,4,259,259,259,283
050,04,007,Arizona,Gila County,0,1,5,34,34,34,37
050,04,007,Arizona,Gila County,0,1,6,540,540,540,605
050,04,007,Arizona,Gila County,0,2,1,8829,8829,8863,8954
050,04,007,Arizona,Gila County,0,2,2,69,69,69,82
050,04,007,Arizona,Gila County,0,2,3,443,443,443,470
050,04,007,Arizona,Gila County,0,2,4,30,30,30,32
050,04,007,Arizona,Gila County,0,2,5,18,18,18,20
050,04,007,Arizona,Gila County,0,2,6,199,199,199,212
050,04,007,Arizona,Gila County,1,0,1,21964,21964,21927,21579
050,04,007,Arizona,Gila County,1,0,2,163,163,163,216
050,04,007,Arizona,Gila County,1,0,3,3977,3977,3971,4006
050,04,007,Arizona,Gila County,1,0,4,117,117,117,132
050,04,007,Arizona,Gila County,1,0,5,28,28,28,28
050,04,007,Arizona,Gila County,1,0,6,384,384,384,411
050,04,007,Arizona,Gila County,1,1,1,17509,17509,17454,17072
050,04,007,Arizona,Gila County,1,1,2,123,123,123,173
050,04,007,Arizona,Gila County,1,1,3,3742,3742,3736,3769
050,04,007,Arizona,Gila County,1,1,4,97,97,97,112
050,04,007,Arizona,Gila County,1,1,5,18,18,18,18
050,04,007,Arizona,Gila County,1,1,6,277,277,277,294
050,04,007,Arizona,Gila County,1,2,1,4455,4455,4473,4507
050,04,007,Arizona,Gila County,1,2,2,40,40,40,43
050,04,007,Arizona,Gila County,1,2,3,235,235,235,237
050,04,007,Arizona,Gila County,1,2,4,20,20,20,20
050,04,007,Arizona,Gila County,1,2,5,10,10,10,10
050,04,007,Arizona,Gila County,1,2,6,107,107,107,117
050,04,007,Arizona,Gila County,2,0,1,22224,22224,22182,21815
050,04,007,Arizona,Gila County,2,0,2,102,102,102,167
050,04,007,Arizona,Gila County,2,0,3,4087,4087,4080,4172
050,04,007,Arizona,Gila County,2,0,4,172,172,172,183
050,04,007,Arizona,Gila County,2,0,5,24,24,24,29
050,04,007,Arizona,Gila County,2,0,6,355,355,355,406
050,04,007,Arizona,Gila County,2,1,1,17850,17850,17792,17368
050,04,007,Arizona,Gila County,2,1,2,73,73,73,128
050,04,007,Arizona,Gila County,2,1,3,3879,3879,3872,3939
050,04,007,Arizona,Gila County,2,1,4,162,162,162,171
050,04,007,Arizona,Gila County,2,1,5,16,16,16,19
050,04,007,Arizona,Gila County,2,1,6,263,263,263,311
050,04,007,Arizona,Gila County,2,2,1,4374,4374,4390,4447
050,04,007,Arizona,Gila County,2,2,2,29,29,29,39
050,04,007,Arizona,Gila County,2,2,3,208,208,208,233
050,04,007,Arizona,Gila County,2,2,4,10,10,10,12
050,04,007,Arizona,Gila County,2,2,5,8,8,8,10
050,04,007,Arizona,Gila County,2,2,6,92,92,92,95
050,04,009,Arizona,Graham County,0,0,1,30117,30117,30027,29955
050,04,009,Arizona,Graham County,0,0,2,749,749,749,807
050,04,009,Arizona,Graham County,0,0,3,5483,5483,5469,5450
050,04,009,Arizona,Graham County,0,0,4,223,223,223,220
050,04,009,Arizona,Graham County,0,0,5,73,73,73,74
050,04,009,Arizona,Graham County,0,0,6,575,575,575,641
050,04,009,Arizona,Graham County,0,1,1,19523,19523,19424,19286
050,04,009,Arizona,Graham County,0,1,2,647,647,647,697
050,04,009,Arizona,Graham County,0,1,3,5076,5076,5062,5016
050,04,009,Arizona,Graham County,0,1,4,194,194,194,191
050,04,009,Arizona,Graham County,0,1,5,49,49,49,50
050,04,009,Arizona,Graham County,0,1,6,411,411,411,453
050,04,009,Arizona,Graham County,0,2,1,10594,10594,10603,10669
050,04,009,Arizona,Graham County,0,2,2,102,102,102,110
050,04,009,Arizona,Graham County,0,2,3,407,407,407,434
050,04,009,Arizona,Graham County,0,2,4,29,29,29,29
050,04,009,Arizona,Graham County,0,2,5,24,24,24,24
050,04,009,Arizona,Graham County,0,2,6,164,164,164,188
050,04,009,Arizona,Graham County,1,0,1,16174,16174,16133,16108
050,04,009,Arizona,Graham County,1,0,2,597,597,597,622
050,04,009,Arizona,Graham County,1,0,3,2730,2730,2721,2706
050,04,009,Arizona,Graham County,1,0,4,125,125,125,122
050,04,009,Arizona,Graham County,1,0,5,42,42,42,43
050,04,009,Arizona,Graham County,1,0,6,309,309,309,338
050,04,009,Arizona,Graham County,1,1,1,10103,10103,10057,9975
050,04,009,Arizona,Graham County,1,1,2,543,543,543,563
050,04,009,Arizona,Graham County,1,1,3,2524,2524,2515,2487
050,04,009,Arizona,Graham County,1,1,4,109,109,109,106
050,04,009,Arizona,Graham County,1,1,5,31,31,31,32
050,04,009,Arizona,Graham County,1,1,6,217,217,217,235
050,04,009,Arizona,Graham County,1,2,1,6071,6071,6076,6133
050,04,009,Arizona,Graham County,1,2,2,54,54,54,59
050,04,009,Arizona,Graham County,1,2,3,206,206,206,219
050,04,009,Arizona,Graham County,1,2,4,16,16,16,16
050,04,009,Arizona,Graham County,1,2,5,11,11,11,11
050,04,009,Arizona,Graham County,1,2,6,92,92,92,103
050,04,009,Arizona,Graham County,2,0,1,13943,13943,13894,13847
050,04,009,Arizona,Graham County,2,0,2,152,152,152,185
050,04,009,Arizona,Graham County,2,0,3,2753,2753,2748,2744
050,04,009,Arizona,Graham County,2,0,4,98,98,98,98
050,04,009,Arizona,Graham County,2,0,5,31,31,31,31
050,04,009,Arizona,Graham County,2,0,6,266,266,266,303
050,04,009,Arizona,Graham County,2,1,1,9420,9420,9367,9311
050,04,009,Arizona,Graham County,2,1,2,104,104,104,134
050,04,009,Arizona,Graham County,2,1,3,2552,2552,2547,2529
050,04,009,Arizona,Graham County,2,1,4,85,85,85,85
050,04,009,Arizona,Graham County,2,1,5,18,18,18,18
050,04,009,Arizona,Graham County,2,1,6,194,194,194,218
050,04,009,Arizona,Graham County,2,2,1,4523,4523,4527,4536
050,04,009,Arizona,Graham County,2,2,2,48,48,48,51
050,04,009,Arizona,Graham County,2,2,3,201,201,201,215
050,04,009,Arizona,Graham County,2,2,4,13,13,13,13
050,04,009,Arizona,Graham County,2,2,5,13,13,13,13
050,04,009,Arizona,Graham County,2,2,6,72,72,72,85
050,04,011,Arizona,Greenlee County,0,0,1,7857,7857,7771,7918
050,04,011,Arizona,Greenlee County,0,0,2,106,106,106,129
050,04,011,Arizona,Greenlee County,0,0,3,255,255,255,297
050,04,011,Arizona,Greenlee County,0,0,4,58,58,58,61
050,04,011,Arizona,Greenlee County,0,0,5,8,8,8,10
050,04,011,Arizona,Greenlee County,0,0,6,153,153,153,191
050,04,011,Arizona,Greenlee County,0,1,1,4057,4057,3993,4103
050,04,011,Arizona,Greenlee County,0,1,2,79,79,79,99
050,04,011,Arizona,Greenlee County,0,1,3,144,144,144,176
050,04,011,Arizona,Greenlee County,0,1,4,44,44,44,47
050,04,011,Arizona,Greenlee County,0,1,5,8,8,8,10
050,04,011,Arizona,Greenlee County,0,1,6,65,65,65,104
050,04,011,Arizona,Greenlee County,0,2,1,3800,3800,3778,3815
050,04,011,Arizona,Greenlee County,0,2,2,27,27,27,30
050,04,011,Arizona,Greenlee County,0,2,3,111,111,111,121
050,04,011,Arizona,Greenlee County,0,2,4,14,14,14,14
050,04,011,Arizona,Greenlee County,0,2,5,0,0,0,0
050,04,011,Arizona,Greenlee County,0,2,6,88,88,88,87
050,04,011,Arizona,Greenlee County,1,0,1,4101,4101,4049,4131
050,04,011,Arizona,Greenlee County,1,0,2,57,57,57,72
050,04,011,Arizona,Greenlee County,1,0,3,128,128,128,142
050,04,011,Arizona,Greenlee County,1,0,4,30,30,30,30
050,04,011,Arizona,Greenlee County,1,0,5,6,6,6,8
050,04,011,Arizona,Greenlee County,1,0,6,76,76,76,93
050,04,011,Arizona,Greenlee County,1,1,1,2166,2166,2127,2196
050,04,011,Arizona,Greenlee County,1,1,2,47,47,47,60
050,04,011,Arizona,Greenlee County,1,1,3,68,68,68,84
050,04,011,Arizona,Greenlee County,1,1,4,23,23,23,23
050,04,011,Arizona,Greenlee County,1,1,5,6,6,6,8
050,04,011,Arizona,Greenlee County,1,1,6,35,35,35,52
050,04,011,Arizona,Greenlee County,1,2,1,1935,1935,1922,1935
050,04,011,Arizona,Greenlee County,1,2,2,10,10,10,12
050,04,011,Arizona,Greenlee County,1,2,3,60,60,60,58
050,04,011,Arizona,Greenlee County,1,2,4,7,7,7,7
050,04,011,Arizona,Greenlee County,1,2,5,0,0,0,0
050,04,011,Arizona,Greenlee County,1,2,6,41,41,41,41
050,04,011,Arizona,Greenlee County,2,0,1,3756,3756,3722,3787
050,04,011,Arizona,Greenlee County,2,0,2,49,49,49,57
050,04,011,Arizona,Greenlee County,2,0,3,127,127,127,155
050,04,011,Arizona,Greenlee County,2,0,4,28,28,28,31
050,04,011,Arizona,Greenlee County,2,0,5,2,2,2,2
050,04,011,Arizona,Greenlee County,2,0,6,77,77,77,98
050,04,011,Arizona,Greenlee County,2,1,1,1891,1891,1866,1907
050,04,011,Arizona,Greenlee County,2,1,2,32,32,32,39
050,04,011,Arizona,Greenlee County,2,1,3,76,76,76,92
050,04,011,Arizona,Greenlee County,2,1,4,21,21,21,24
050,04,011,Arizona,Greenlee County,2,1,5,2,2,2,2
050,04,011,Arizona,Greenlee County,2,1,6,30,30,30,52
050,04,011,Arizona,Greenlee County,2,2,1,1865,1865,1856,1880
050,04,011,Arizona,Greenlee County,2,2,2,17,17,17,18
050,04,011,Arizona,Greenlee County,2,2,3,51,51,51,63
050,04,011,Arizona,Greenlee County,2,2,4,7,7,7,7
050,04,011,Arizona,Greenlee County,2,2,5,0,0,0,0
050,04,011,Arizona,Greenlee County,2,2,6,47,47,47,46
050,04,012,Arizona,La Paz County,0,0,1,16189,16189,16175,15996
050,04,012,Arizona,La Paz County,0,0,2,157,157,157,198
050,04,012,Arizona,La Paz County,0,0,3,3426,3426,3422,3464
050,04,012,Arizona,La Paz County,0,0,4,131,131,131,148
050,04,012,Arizona,La Paz County,0,0,5,16,16,16,18
050,04,012,Arizona,La Paz County,0,0,6,570,570,570,595
050,04,012,Arizona,La Paz County,0,1,1,12874,12874,12860,12526
050,04,012,Arizona,La Paz County,0,1,2,116,116,116,151
050,04,012,Arizona,La Paz County,0,1,3,2205,2205,2201,2225
050,04,012,Arizona,La Paz County,0,1,4,92,92,92,102
050,04,012,Arizona,La Paz County,0,1,5,5,5,5,7
050,04,012,Arizona,La Paz County,0,1,6,391,391,391,399
050,04,012,Arizona,La Paz County,0,2,1,3315,3315,3315,3470
050,04,012,Arizona,La Paz County,0,2,2,41,41,41,47
050,04,012,Arizona,La Paz County,0,2,3,1221,1221,1221,1239
050,04,012,Arizona,La Paz County,0,2,4,39,39,39,46
050,04,012,Arizona,La Paz County,0,2,5,11,11,11,11
050,04,012,Arizona,La Paz County,0,2,6,179,179,179,196
050,04,012,Arizona,La Paz County,1,0,1,8453,8453,8445,8295
050,04,012,Arizona,La Paz County,1,0,2,85,85,85,111
050,04,012,Arizona,La Paz County,1,0,3,1675,1675,1673,1670
050,04,012,Arizona,La Paz County,1,0,4,53,53,53,65
050,04,012,Arizona,La Paz County,1,0,5,9,9,9,9
050,04,012,Arizona,La Paz County,1,0,6,275,275,275,284
050,04,012,Arizona,La Paz County,1,1,1,6666,6666,6658,6447
050,04,012,Arizona,La Paz County,1,1,2,64,64,64,85
050,04,012,Arizona,La Paz County,1,1,3,1031,1031,1029,1021
050,04,012,Arizona,La Paz County,1,1,4,36,36,36,44
050,04,012,Arizona,La Paz County,1,1,5,4,4,4,4
050,04,012,Arizona,La Paz County,1,1,6,184,184,184,189
050,04,012,Arizona,La Paz County,1,2,1,1787,1787,1787,1848
050,04,012,Arizona,La Paz County,1,2,2,21,21,21,26
050,04,012,Arizona,La Paz County,1,2,3,644,644,644,649
050,04,012,Arizona,La Paz County,1,2,4,17,17,17,21
050,04,012,Arizona,La Paz County,1,2,5,5,5,5,5
050,04,012,Arizona,La Paz County,1,2,6,91,91,91,95
050,04,012,Arizona,La Paz County,2,0,1,7736,7736,7730,7701
050,04,012,Arizona,La Paz County,2,0,2,72,72,72,87
050,04,012,Arizona,La Paz County,2,0,3,1751,1751,1749,1794
050,04,012,Arizona,La Paz County,2,0,4,78,78,78,83
050,04,012,Arizona,La Paz County,2,0,5,7,7,7,9
050,04,012,Arizona,La Paz County,2,0,6,295,295,295,311
050,04,012,Arizona,La Paz County,2,1,1,6208,6208,6202,6079
050,04,012,Arizona,La Paz County,2,1,2,52,52,52,66
050,04,012,Arizona,La Paz County,2,1,3,1174,1174,1172,1204
050,04,012,Arizona,La Paz County,2,1,4,56,56,56,58
050,04,012,Arizona,La Paz County,2,1,5,1,1,1,3
050,04,012,Arizona,La Paz County,2,1,6,207,207,207,210
050,04,012,Arizona,La Paz County,2,2,1,1528,1528,1528,1622
050,04,012,Arizona,La Paz County,2,2,2,20,20,20,21
050,04,012,Arizona,La Paz County,2,2,3,577,577,577,590
050,04,012,Arizona,La Paz County,2,2,4,22,22,22,25
050,04,012,Arizona,La Paz County,2,2,5,6,6,6,6
050,04,012,Arizona,La Paz County,2,2,6,88,88,88,101
050,04,013,Arizona,Maricopa County,0,0,1,3268366,3268366,3274172,3313197
050,04,013,Arizona,Maricopa County,0,0,2,205732,205732,205884,210165
050,04,013,Arizona,Maricopa County,0,0,3,99663,99663,99970,103552
050,04,013,Arizona,Maricopa County,0,0,4,140285,140285,140937,145391
050,04,013,Arizona,Maricopa County,0,0,5,10115,10115,10170,10366
050,04,013,Arizona,Maricopa County,0,0,6,92956,92956,93701,97573
050,04,013,Arizona,Maricopa County,0,1,1,2245826,2245826,2246324,2260686
050,04,013,Arizona,Maricopa County,0,1,2,178804,178804,178778,182571
050,04,013,Arizona,Maricopa County,0,1,3,59644,59644,59746,62146
050,04,013,Arizona,Maricopa County,0,1,4,129772,129772,130349,134592
050,04,013,Arizona,Maricopa County,0,1,5,6851,6851,6876,7031
050,04,013,Arizona,Maricopa County,0,1,6,67479,67479,67954,70622
050,04,013,Arizona,Maricopa County,0,2,1,1022540,1022540,1027848,1052511
050,04,013,Arizona,Maricopa County,0,2,2,26928,26928,27106,27594
050,04,013,Arizona,Maricopa County,0,2,3,40019,40019,40224,41406
050,04,013,Arizona,Maricopa County,0,2,4,10513,10513,10588,10799
050,04,013,Arizona,Maricopa County,0,2,5,3264,3264,3294,3335
