SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,32,001,Nevada,Churchill County,0,0,1,21509,21509,21436,21096
050,32,001,Nevada,Churchill County,0,0,2,424,424,424,522
050,32,001,Nevada,Churchill County,0,0,3,1226,1226,1226,1257
050,32,001,Nevada,Churchill County,0,0,4,718,718,718,771
050,32,001,Nevada,Churchill County,0,0,5,55,55,55,63
050,32,001,Nevada,Churchill County,0,0,6,945,945,945,928
050,32,001,Nevada,Churchill County,0,1,1,19053,19053,18980,18550
050,32,001,Nevada,Churchill County,0,1,2,367,367,367,455
050,32,001,Nevada,Churchill County,0,1,3,997,997,997,1012
050,32,001,Nevada,Churchill County,0,1,4,653,653,653,703
050,32,001,Nevada,Churchill County,0,1,5,42,42,42,47
050,32,001,Nevada,Churchill County,0,1,6,756,756,756,741
050,32,001,Nevada,Churchill County,0,2,1,2456,2456,2456,2546
050,32,001,Nevada,Churchill County,0,2,2,57,57,57,67
050,32,001,Nevada,Churchill County,0,2,3,229,229,229,245
050,32,001,Nevada,Churchill County,0,2,4,65,65,65,68
050,32,001,Nevada,Churchill County,0,2,5,13,13,13,16
050,32,001,Nevada,Churchill County,0,2,6,189,189,189,187
050,32,001,Nevada,Churchill County,1,0,1,10909,10909,10872,10694
050,32,001,Nevada,Churchill County,1,0,2,251,251,251,285
050,32,001,Nevada,Churchill County,1,0,3,573,573,573,570
050,32,001,Nevada,Churchill County,1,0,4,270,270,270,293
050,32,001,Nevada,Churchill County,1,0,5,26,26,26,31
050,32,001,Nevada,Churchill County,1,0,6,479,479,479,472
050,32,001,Nevada,Churchill County,1,1,1,9617,9617,9580,9366
050,32,001,Nevada,Churchill County,1,1,2,221,221,221,254
050,32,001,Nevada,Churchill County,1,1,3,459,459,459,452
050,32,001,Nevada,Churchill County,1,1,4,235,235,235,258
050,32,001,Nevada,Churchill County,1,1,5,20,20,20,24
050,32,001,Nevada,Churchill County,1,1,6,375,375,375,367
050,32,001,Nevada,Churchill County,1,2,1,1292,1292,1292,1328
050,32,001,Nevada,Churchill County,1,2,2,30,30,30,31
050,32,001,Nevada,Churchill County,1,2,3,114,114,114,118
050,32,001,Nevada,Churchill County,1,2,4,35,35,35,35
050,32,001,Nevada,Churchill County,1,2,5,6,6,6,7
050,32,001,Nevada,Churchill County,1,2,6,104,104,104,105
050,32,001,Nevada,Churchill County,2,0,1,10600,10600,10564,10402
050,32,001,Nevada,Churchill County,2,0,2,173,173,173,237
050,32,001,Nevada,Churchill County,2,0,3,653,653,653,687
050,32,001,Nevada,Churchill County,2,0,4,448,448,448,478
050,32,001,Nevada,Churchill County,2,0,5,29,29,29,32
050,32,001,Nevada,Churchill County,2,0,6,466,466,466,456
050,32,001,Nevada,Churchill County,2,1,1,9436,9436,9400,9184
050,32,001,Nevada,Churchill County,2,1,2,146,146,146,201
