SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,25,001,Massachusetts,Barnstable County,0,0,1,203877,203877,203950,203305
050,25,001,Massachusetts,Barnstable County,0,0,2,4628,4628,4641,4856
050,25,001,Massachusetts,Barnstable County,0,0,3,1501,1501,1500,1479
050,25,001,Massachusetts,Barnstable County,0,0,4,2392,2392,2397,2516
050,25,001,Massachusetts,Barnstable County,0,0,5,122,122,122,133
050,25,001,Massachusetts,Barnstable County,0,0,6,3368,3368,3378,3480
050,25,001,Massachusetts,Barnstable County,0,1,1,200012,200012,200073,199176
050,25,001,Massachusetts,Barnstable County,0,1,2,4301,4301,4314,4515
050,25,001,Massachusetts,Barnstable County,0,1,3,1321,1321,1320,1274
050,25,001,Massachusetts,Barnstable County,0,1,4,2357,2357,2362,2471
050,25,001,Massachusetts,Barnstable County,0,1,5,85,85,85,89
050,25,001,Massachusetts,Barnstable County,0,1,6,3125,3125,3134,3215
050,25,001,Massachusetts,Barnstable County,0,2,1,3865,3865,3877,4129
050,25,001,Massachusetts,Barnstable County,0,2,2,327,327,327,341
050,25,001,Massachusetts,Barnstable County,0,2,3,180,180,180,205
050,25,001,Massachusetts,Barnstable County,0,2,4,35,35,35,45
050,25,001,Massachusetts,Barnstable County,0,2,5,37,37,37,44
050,25,001,Massachusetts,Barnstable County,0,2,6,243,243,244,265
050,25,001,Massachusetts,Barnstable County,1,0,1,96795,96795,96849,96492
050,25,001,Massachusetts,Barnstable County,1,0,2,2505,2505,2514,2587
050,25,001,Massachusetts,Barnstable County,1,0,3,776,776,777,756
050,25,001,Massachusetts,Barnstable County,1,0,4,1088,1088,1091,1141
050,25,001,Massachusetts,Barnstable County,1,0,5,69,69,69,72
050,25,001,Massachusetts,Barnstable County,1,0,6,1621,1621,1627,1666
050,25,001,Massachusetts,Barnstable County,1,1,1,94803,94803,94851,94372
050,25,001,Massachusetts,Barnstable County,1,1,2,2331,2331,2340,2413
050,25,001,Massachusetts,Barnstable County,1,1,3,680,680,681,648
050,25,001,Massachusetts,Barnstable County,1,1,4,1068,1068,1071,1117
050,25,001,Massachusetts,Barnstable County,1,1,5,47,47,47,48
050,25,001,Massachusetts,Barnstable County,1,1,6,1493,1493,1498,1523
050,25,001,Massachusetts,Barnstable County,1,2,1,1992,1992,1998,2120
050,25,001,Massachusetts,Barnstable County,1,2,2,174,174,174,174
050,25,001,Massachusetts,Barnstable County,1,2,3,96,96,96,108
050,25,001,Massachusetts,Barnstable County,1,2,4,20,20,20,24
050,25,001,Massachusetts,Barnstable County,1,2,5,22,22,22,24
050,25,001,Massachusetts,Barnstable County,1,2,6,128,128,129,143
050,25,001,Massachusetts,Barnstable County,2,0,1,107082,107082,107101,106813
050,25,001,Massachusetts,Barnstable County,2,0,2,2123,2123,2127,2269
050,25,001,Massachusetts,Barnstable County,2,0,3,725,725,723,723
050,25,001,Massachusetts,Barnstable County,2,0,4,1304,1304,1306,1375
050,25,001,Massachusetts,Barnstable County,2,0,5,53,53,53,61
050,25,001,Massachusetts,Barnstable County,2,0,6,1747,1747,1751,1814
050,25,001,Massachusetts,Barnstable County,2,1,1,105209,105209,105222,104804
050,25,001,Massachusetts,Barnstable County,2,1,2,1970,1970,1974,2102
050,25,001,Massachusetts,Barnstable County,2,1,3,641,641,639,626
050,25,001,Massachusetts,Barnstable County,2,1,4,1289,1289,1291,1354
050,25,001,Massachusetts,Barnstable County,2,1,5,38,38,38,41
050,25,001,Massachusetts,Barnstable County,2,1,6,1632,1632,1636,1692
050,25,001,Massachusetts,Barnstable County,2,2,1,1873,1873,1879,2009
050,25,001,Massachusetts,Barnstable County,2,2,2,153,153,153,167
050,25,001,Massachusetts,Barnstable County,2,2,3,84,84,84,97
050,25,001,Massachusetts,Barnstable County,2,2,4,15,15,15,21
050,25,001,Massachusetts,Barnstable County,2,2,5,15,15,15,20
050,25,001,Massachusetts,Barnstable County,2,2,6,115,115,115,122
050,25,003,Massachusetts,Berkshire County,0,0,1,122872,122872,122772,121894
050,25,003,Massachusetts,Berkshire County,0,0,2,3781,3781,3785,3851
050,25,003,Massachusetts,Berkshire County,0,0,3,318,318,318,339
050,25,003,Massachusetts,Berkshire County,0,0,4,1652,1652,1653,1736
050,25,003,Massachusetts,Berkshire County,0,0,5,42,42,42,55
050,25,003,Massachusetts,Berkshire County,0,0,6,2554,2554,2558,2583
050,25,003,Massachusetts,Berkshire County,0,1,1,119179,119179,119071,118117
050,25,003,Massachusetts,Berkshire County,0,1,2,3384,3384,3388,3452
050,25,003,Massachusetts,Berkshire County,0,1,3,201,201,201,218
050,25,003,Massachusetts,Berkshire County,0,1,4,1625,1625,1626,1706
050,25,003,Massachusetts,Berkshire County,0,1,5,23,23,23,35
050,25,003,Massachusetts,Berkshire County,0,1,6,2277,2277,2281,2303
050,25,003,Massachusetts,Berkshire County,0,2,1,3693,3693,3701,3777
050,25,003,Massachusetts,Berkshire County,0,2,2,397,397,397,399
050,25,003,Massachusetts,Berkshire County,0,2,3,117,117,117,121
050,25,003,Massachusetts,Berkshire County,0,2,4,27,27,27,30
050,25,003,Massachusetts,Berkshire County,0,2,5,19,19,19,20
050,25,003,Massachusetts,Berkshire County,0,2,6,277,277,277,280
050,25,003,Massachusetts,Berkshire County,1,0,1,59006,59006,58965,58644
050,25,003,Massachusetts,Berkshire County,1,0,2,2010,2010,2012,2056
050,25,003,Massachusetts,Berkshire County,1,0,3,174,174,174,184
050,25,003,Massachusetts,Berkshire County,1,0,4,729,729,729,759
050,25,003,Massachusetts,Berkshire County,1,0,5,18,18,18,22
050,25,003,Massachusetts,Berkshire County,1,0,6,1232,1232,1236,1249
050,25,003,Massachusetts,Berkshire County,1,1,1,57127,57127,57081,56714
050,25,003,Massachusetts,Berkshire County,1,1,2,1821,1821,1823,1860
050,25,003,Massachusetts,Berkshire County,1,1,3,109,109,109,115
050,25,003,Massachusetts,Berkshire County,1,1,4,720,720,720,748
050,25,003,Massachusetts,Berkshire County,1,1,5,7,7,7,10
050,25,003,Massachusetts,Berkshire County,1,1,6,1102,1102,1106,1118
050,25,003,Massachusetts,Berkshire County,1,2,1,1879,1879,1884,1930
050,25,003,Massachusetts,Berkshire County,1,2,2,189,189,189,196
050,25,003,Massachusetts,Berkshire County,1,2,3,65,65,65,69
050,25,003,Massachusetts,Berkshire County,1,2,4,9,9,9,11
050,25,003,Massachusetts,Berkshire County,1,2,5,11,11,11,12
050,25,003,Massachusetts,Berkshire County,1,2,6,130,130,130,131
050,25,003,Massachusetts,Berkshire County,2,0,1,63866,63866,63807,63250
050,25,003,Massachusetts,Berkshire County,2,0,2,1771,1771,1773,1795
050,25,003,Massachusetts,Berkshire County,2,0,3,144,144,144,155
050,25,003,Massachusetts,Berkshire County,2,0,4,923,923,924,977
050,25,003,Massachusetts,Berkshire County,2,0,5,24,24,24,33
050,25,003,Massachusetts,Berkshire County,2,0,6,1322,1322,1322,1334
050,25,003,Massachusetts,Berkshire County,2,1,1,62052,62052,61990,61403
050,25,003,Massachusetts,Berkshire County,2,1,2,1563,1563,1565,1592
050,25,003,Massachusetts,Berkshire County,2,1,3,92,92,92,103
050,25,003,Massachusetts,Berkshire County,2,1,4,905,905,906,958
050,25,003,Massachusetts,Berkshire County,2,1,5,16,16,16,25
050,25,003,Massachusetts,Berkshire County,2,1,6,1175,1175,1175,1185
050,25,003,Massachusetts,Berkshire County,2,2,1,1814,1814,1817,1847
050,25,003,Massachusetts,Berkshire County,2,2,2,208,208,208,203
050,25,003,Massachusetts,Berkshire County,2,2,3,52,52,52,52
050,25,003,Massachusetts,Berkshire County,2,2,4,18,18,18,19
050,25,003,Massachusetts,Berkshire County,2,2,5,8,8,8,8
050,25,003,Massachusetts,Berkshire County,2,2,6,147,147,147,149
050,25,005,Massachusetts,Bristol County,0,0,1,501818,501818,501913,501192
050,25,005,Massachusetts,Bristol County,0,0,2,22728,22728,22779,23092
050,25,005,Massachusetts,Bristol County,0,0,3,3354,3354,3359,3402
050,25,005,Massachusetts,Bristol County,0,0,4,10626,10626,10673,11049
050,25,005,Massachusetts,Bristol County,0,0,5,494,494,494,504
050,25,005,Massachusetts,Bristol County,0,0,6,9265,9265,9319,9683
050,25,005,Massachusetts,Bristol County,0,1,1,476531,476531,476472,474550
050,25,005,Massachusetts,Bristol County,0,1,2,18819,18819,18853,19095
050,25,005,Massachusetts,Bristol County,0,1,3,1287,1287,1285,1297
050,25,005,Massachusetts,Bristol County,0,1,4,10423,10423,10469,10842
050,25,005,Massachusetts,Bristol County,0,1,5,267,267,266,277
050,25,005,Massachusetts,Bristol County,0,1,6,7938,7938,7988,8290
050,25,005,Massachusetts,Bristol County,0,2,1,25287,25287,25441,26642
050,25,005,Massachusetts,Bristol County,0,2,2,3909,3909,3926,3997
050,25,005,Massachusetts,Bristol County,0,2,3,2067,2067,2074,2105
050,25,005,Massachusetts,Bristol County,0,2,4,203,203,204,207
050,25,005,Massachusetts,Bristol County,0,2,5,227,227,228,227
050,25,005,Massachusetts,Bristol County,0,2,6,1327,1327,1331,1393
050,25,005,Massachusetts,Bristol County,1,0,1,242346,242346,242431,242126
050,25,005,Massachusetts,Bristol County,1,0,2,11491,11491,11521,11674
