SUMLEV,STATE,COUNTY,STNAME,CTYNAME,SEX,ORIGIN,RACE,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011
050,51,001,Virginia,Accomack County,0,0,1,22886,22886,22923,22986
050,51,001,Virginia,Accomack County,0,0,2,9369,9369,9400,9396
050,51,001,Virginia,Accomack County,0,0,3,196,196,196,216
050,51,001,Virginia,Accomack County,0,0,4,188,188,188,197
050,51,001,Virginia,Accomack County,0,0,5,53,53,53,54
050,51,001,Virginia,Accomack County,0,0,6,472,472,472,487
050,51,001,Virginia,Accomack County,0,1,1,20294,20294,20329,20244
050,51,001,Virginia,Accomack County,0,1,2,9269,9269,9300,9276
050,51,001,Virginia,Accomack County,0,1,3,97,97,97,108
050,51,001,Virginia,Accomack County,0,1,4,177,177,177,186
050,51,001,Virginia,Accomack County,0,1,5,37,37,37,36
050,51,001,Virginia,Accomack County,0,1,6,440,440,440,451
050,51,001,Virginia,Accomack County,0,2,1,2592,2592,2594,2742
050,51,001,Virginia,Accomack County,0,2,2,100,100,100,120
050,51,001,Virginia,Accomack County,0,2,3,99,99,99,108
050,51,001,Virginia,Accomack County,0,2,4,11,11,11,11
050,51,001,Virginia,Accomack County,0,2,5,16,16,16,18
050,51,001,Virginia,Accomack County,0,2,6,32,32,32,36
050,51,001,Virginia,Accomack County,1,0,1,11381,11381,11399,11418
050,51,001,Virginia,Accomack County,1,0,2,4309,4309,4325,4353
050,51,001,Virginia,Accomack County,1,0,3,102,102,102,113
050,51,001,Virginia,Accomack County,1,0,4,86,86,86,96
050,51,001,Virginia,Accomack County,1,0,5,30,30,30,30
050,51,001,Virginia,Accomack County,1,0,6,246,246,246,245
050,51,001,Virginia,Accomack County,1,1,1,9938,9938,9954,9887
050,51,001,Virginia,Accomack County,1,1,2,4254,4254,4270,4290
050,51,001,Virginia,Accomack County,1,1,3,52,52,52,58
050,51,001,Virginia,Accomack County,1,1,4,80,80,80,90
050,51,001,Virginia,Accomack County,1,1,5,23,23,23,22
050,51,001,Virginia,Accomack County,1,1,6,228,228,228,224
050,51,001,Virginia,Accomack County,1,2,1,1443,1443,1445,1531
050,51,001,Virginia,Accomack County,1,2,2,55,55,55,63
050,51,001,Virginia,Accomack County,1,2,3,50,50,50,55
050,51,001,Virginia,Accomack County,1,2,4,6,6,6,6
050,51,001,Virginia,Accomack County,1,2,5,7,7,7,8
050,51,001,Virginia,Accomack County,1,2,6,18,18,18,21
050,51,001,Virginia,Accomack County,2,0,1,11505,11505,11524,11568
050,51,001,Virginia,Accomack County,2,0,2,5060,5060,5075,5043
050,51,001,Virginia,Accomack County,2,0,3,94,94,94,103
050,51,001,Virginia,Accomack County,2,0,4,102,102,102,101
050,51,001,Virginia,Accomack County,2,0,5,23,23,23,24
050,51,001,Virginia,Accomack County,2,0,6,226,226,226,242
050,51,001,Virginia,Accomack County,2,1,1,10356,10356,10375,10357
050,51,001,Virginia,Accomack County,2,1,2,5015,5015,5030,4986
050,51,001,Virginia,Accomack County,2,1,3,45,45,45,50
050,51,001,Virginia,Accomack County,2,1,4,97,97,97,96
050,51,001,Virginia,Accomack County,2,1,5,14,14,14,14
050,51,001,Virginia,Accomack County,2,1,6,212,212,212,227
050,51,001,Virginia,Accomack County,2,2,1,1149,1149,1149,1211
050,51,001,Virginia,Accomack County,2,2,2,45,45,45,57
050,51,001,Virginia,Accomack County,2,2,3,49,49,49,53
050,51,001,Virginia,Accomack County,2,2,4,5,5,5,5
050,51,001,Virginia,Accomack County,2,2,5,9,9,9,10
050,51,001,Virginia,Accomack County,2,2,6,14,14,14,15
050,51,003,Virginia,Albemarle County,0,0,1,81907,81907,82055,82851
050,51,003,Virginia,Albemarle County,0,0,2,9768,9768,9811,10141
050,51,003,Virginia,Albemarle County,0,0,3,380,380,380,430
050,51,003,Virginia,Albemarle County,0,0,4,4673,4673,4686,4730
050,51,003,Virginia,Albemarle County,0,0,5,72,72,72,74
050,51,003,Virginia,Albemarle County,0,0,6,2170,2170,2170,2327
050,51,003,Virginia,Albemarle County,0,1,1,77295,77295,77428,78122
050,51,003,Virginia,Albemarle County,0,1,2,9538,9538,9581,9869
050,51,003,Virginia,Albemarle County,0,1,3,150,150,150,167
050,51,003,Virginia,Albemarle County,0,1,4,4628,4628,4641,4679
050,51,003,Virginia,Albemarle County,0,1,5,42,42,42,42
050,51,003,Virginia,Albemarle County,0,1,6,1900,1900,1900,2023
050,51,003,Virginia,Albemarle County,0,2,1,4612,4612,4627,4729
050,51,003,Virginia,Albemarle County,0,2,2,230,230,230,272
050,51,003,Virginia,Albemarle County,0,2,3,230,230,230,263
050,51,003,Virginia,Albemarle County,0,2,4,45,45,45,51
050,51,003,Virginia,Albemarle County,0,2,5,30,30,30,32
050,51,003,Virginia,Albemarle County,0,2,6,270,270,270,304
050,51,003,Virginia,Albemarle County,1,0,1,39438,39438,39517,39811
050,51,003,Virginia,Albemarle County,1,0,2,4685,4685,4703,4849
050,51,003,Virginia,Albemarle County,1,0,3,197,197,197,225
050,51,003,Virginia,Albemarle County,1,0,4,2221,2221,2225,2211
050,51,003,Virginia,Albemarle County,1,0,5,38,38,38,38
050,51,003,Virginia,Albemarle County,1,0,6,1030,1030,1030,1113
050,51,003,Virginia,Albemarle County,1,1,1,36934,36934,37002,37260
050,51,003,Virginia,Albemarle County,1,1,2,4566,4566,4584,4709
050,51,003,Virginia,Albemarle County,1,1,3,74,74,74,82
050,51,003,Virginia,Albemarle County,1,1,4,2197,2197,2201,2185
050,51,003,Virginia,Albemarle County,1,1,5,24,24,24,24
050,51,003,Virginia,Albemarle County,1,1,6,893,893,893,960
050,51,003,Virginia,Albemarle County,1,2,1,2504,2504,2515,2551
050,51,003,Virginia,Albemarle County,1,2,2,119,119,119,140
050,51,003,Virginia,Albemarle County,1,2,3,123,123,123,143
050,51,003,Virginia,Albemarle County,1,2,4,24,24,24,26
050,51,003,Virginia,Albemarle County,1,2,5,14,14,14,14
050,51,003,Virginia,Albemarle County,1,2,6,137,137,137,153
050,51,003,Virginia,Albemarle County,2,0,1,42469,42469,42538,43040
050,51,003,Virginia,Albemarle County,2,0,2,5083,5083,5108,5292
050,51,003,Virginia,Albemarle County,2,0,3,183,183,183,205
050,51,003,Virginia,Albemarle County,2,0,4,2452,2452,2461,2519
050,51,003,Virginia,Albemarle County,2,0,5,34,34,34,36
050,51,003,Virginia,Albemarle County,2,0,6,1140,1140,1140,1214
050,51,003,Virginia,Albemarle County,2,1,1,40361,40361,40426,40862
050,51,003,Virginia,Albemarle County,2,1,2,4972,4972,4997,5160
050,51,003,Virginia,Albemarle County,2,1,3,76,76,76,85
050,51,003,Virginia,Albemarle County,2,1,4,2431,2431,2440,2494
050,51,003,Virginia,Albemarle County,2,1,5,18,18,18,18
050,51,003,Virginia,Albemarle County,2,1,6,1007,1007,1007,1063
050,51,003,Virginia,Albemarle County,2,2,1,2108,2108,2112,2178
050,51,003,Virginia,Albemarle County,2,2,2,111,111,111,132
050,51,003,Virginia,Albemarle County,2,2,3,107,107,107,120
050,51,003,Virginia,Albemarle County,2,2,4,21,21,21,25
050,51,003,Virginia,Albemarle County,2,2,5,16,16,16,18
050,51,003,Virginia,Albemarle County,2,2,6,133,133,133,151
050,51,005,Virginia,Alleghany County,0,0,1,15198,15198,15164,15070
050,51,005,Virginia,Alleghany County,0,0,2,766,766,766,796
050,51,005,Virginia,Alleghany County,0,0,3,29,29,29,31
050,51,005,Virginia,Alleghany County,0,0,4,37,37,37,43
050,51,005,Virginia,Alleghany County,0,0,5,12,12,12,13
050,51,005,Virginia,Alleghany County,0,0,6,208,208,208,222
050,51,005,Virginia,Alleghany County,0,1,1,15051,15051,15017,14904
050,51,005,Virginia,Alleghany County,0,1,2,754,754,754,783
050,51,005,Virginia,Alleghany County,0,1,3,25,25,25,27
050,51,005,Virginia,Alleghany County,0,1,4,37,37,37,43
050,51,005,Virginia,Alleghany County,0,1,5,11,11,11,12
050,51,005,Virginia,Alleghany County,0,1,6,196,196,196,208
050,51,005,Virginia,Alleghany County,0,2,1,147,147,147,166
050,51,005,Virginia,Alleghany County,0,2,2,12,12,12,13
050,51,005,Virginia,Alleghany County,0,2,3,4,4,4,4
050,51,005,Virginia,Alleghany County,0,2,4,0,0,0,0
050,51,005,Virginia,Alleghany County,0,2,5,1,1,1,1
050,51,005,Virginia,Alleghany County,0,2,6,12,12,12,14
050,51,005,Virginia,Alleghany County,1,0,1,7421,7421,7403,7350
050,51,005,Virginia,Alleghany County,1,0,2,385,385,385,397
050,51,005,Virginia,Alleghany County,1,0,3,15,15,15,15
050,51,005,Virginia,Alleghany County,1,0,4,18,18,18,23
050,51,005,Virginia,Alleghany County,1,0,5,5,5,5,5
050,51,005,Virginia,Alleghany County,1,0,6,110,110,110,116
050,51,005,Virginia,Alleghany County,1,1,1,7335,7335,7317,7257
050,51,005,Virginia,Alleghany County,1,1,2,378,378,378,390
050,51,005,Virginia,Alleghany County,1,1,3,13,13,13,13
050,51,005,Virginia,Alleghany County,1,1,4,18,18,18,23
050,51,005,Virginia,Alleghany County,1,1,5,5,5,5,5
050,51,005,Virginia,Alleghany County,1,1,6,106,106,106,112
050,51,005,Virginia,Alleghany County,1,2,1,86,86,86,93
050,51,005,Virginia,Alleghany County,1,2,2,7,7,7,7
050,51,005,Virginia,Alleghany County,1,2,3,2,2,2,2
050,51,005,Virginia,Alleghany County,1,2,4,0,0,0,0
050,51,005,Virginia,Alleghany County,1,2,5,0,0,0,0
050,51,005,Virginia,Alleghany County,1,2,6,4,4,4,4
050,51,005,Virginia,Alleghany County,2,0,1,7777,7777,7761,7720
050,51,005,Virginia,Alleghany County,2,0,2,381,381,381,399
050,51,005,Virginia,Alleghany County,2,0,3,14,14,14,16
050,51,005,Virginia,Alleghany County,2,0,4,19,19,19,20
050,51,005,Virginia,Alleghany County,2,0,5,7,7,7,8
050,51,005,Virginia,Alleghany County,2,0,6,98,98,98,106
050,51,005,Virginia,Alleghany County,2,1,1,7716,7716,7700,7647
050,51,005,Virginia,Alleghany County,2,1,2,376,376,376,393
050,51,005,Virginia,Alleghany County,2,1,3,12,12,12,14
050,51,005,Virginia,Alleghany County,2,1,4,19,19,19,20
050,51,005,Virginia,Alleghany County,2,1,5,6,6,6,7
050,51,005,Virginia,Alleghany County,2,1,6,90,90,90,96
050,51,005,Virginia,Alleghany County,2,2,1,61,61,61,73
050,51,005,Virginia,Alleghany County,2,2,2,5,5,5,6
050,51,005,Virginia,Alleghany County,2,2,3,2,2,2,2
050,51,005,Virginia,Alleghany County,2,2,4,0,0,0,0
050,51,005,Virginia,Alleghany County,2,2,5,1,1,1,1
050,51,005,Virginia,Alleghany County,2,2,6,8,8,8,10
050,51,007,Virginia,Amelia County,0,0,1,9477,9477,9519,9512
050,51,007,Virginia,Amelia County,0,0,2,2943,2943,2958,3006
050,51,007,Virginia,Amelia County,0,0,3,78,78,78,81
050,51,007,Virginia,Amelia County,0,0,4,28,28,28,40
050,51,007,Virginia,Amelia County,0,0,5,6,6,6,7
050,51,007,Virginia,Amelia County,0,0,6,158,158,158,159
050,51,007,Virginia,Amelia County,0,1,1,9242,9242,9284,9249
050,51,007,Virginia,Amelia County,0,1,2,2936,2936,2951,2996
050,51,007,Virginia,Amelia County,0,1,3,39,39,39,41
050,51,007,Virginia,Amelia County,0,1,4,27,27,27,39
050,51,007,Virginia,Amelia County,0,1,5,0,0,0,0
050,51,007,Virginia,Amelia County,0,1,6,156,156,156,157
050,51,007,Virginia,Amelia County,0,2,1,235,235,235,263
050,51,007,Virginia,Amelia County,0,2,2,7,7,7,10
050,51,007,Virginia,Amelia County,0,2,3,39,39,39,40
050,51,007,Virginia,Amelia County,0,2,4,1,1,1,1
050,51,007,Virginia,Amelia County,0,2,5,6,6,6,7
050,51,007,Virginia,Amelia County,0,2,6,2,2,2,2
050,51,007,Virginia,Amelia County,1,0,1,4719,4719,4740,4726
050,51,007,Virginia,Amelia County,1,0,2,1368,1368,1375,1393
050,51,007,Virginia,Amelia County,1,0,3,47,47,47,50
050,51,007,Virginia,Amelia County,1,0,4,12,12,12,16
050,51,007,Virginia,Amelia County,1,0,5,2,2,2,2
050,51,007,Virginia,Amelia County,1,0,6,79,79,79,84
050,51,007,Virginia,Amelia County,1,1,1,4574,4574,4595,4567
050,51,007,Virginia,Amelia County,1,1,2,1366,1366,1373,1388
050,51,007,Virginia,Amelia County,1,1,3,20,20,20,22
050,51,007,Virginia,Amelia County,1,1,4,11,11,11,15
050,51,007,Virginia,Amelia County,1,1,5,0,0,0,0
050,51,007,Virginia,Amelia County,1,1,6,79,79,79,84
050,51,007,Virginia,Amelia County,1,2,1,145,145,145,159
050,51,007,Virginia,Amelia County,1,2,2,2,2,2,5
050,51,007,Virginia,Amelia County,1,2,3,27,27,27,28
050,51,007,Virginia,Amelia County,1,2,4,1,1,1,1
050,51,007,Virginia,Amelia County,1,2,5,2,2,2,2
050,51,007,Virginia,Amelia County,1,2,6,0,0,0,0
050,51,007,Virginia,Amelia County,2,0,1,4758,4758,4779,4786
050,51,007,Virginia,Amelia County,2,0,2,1575,1575,1583,1613
050,51,007,Virginia,Amelia County,2,0,3,31,31,31,31
050,51,007,Virginia,Amelia County,2,0,4,16,16,16,24
050,51,007,Virginia,Amelia County,2,0,5,4,4,4,5
050,51,007,Virginia,Amelia County,2,0,6,79,79,79,75
