SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,44,001,Rhode Island,Bristol County,1,0,50648,24425,26223,23735,25549,216,167,50,42,252,257,8,9,164,199,23891,25737,273,222,102,109,303,336,30,29,24138,25938,23482,25305,202,145,44,38,250,250,7,7,153,193,23628,25487,254,198,90,101,298,327,27,25,287,285,253,244,14,22,6,4,2,7,1,2,11,6,263,250,19,24,12,8,5,9,3,4
050,44,001,Rhode Island,Bristol County,1,1,2729,1393,1336,1335,1279,11,13,4,5,15,16,0,0,28,23,1363,1301,24,23,10,7,23,28,3,2,1363,1309,1308,1256,10,10,4,5,15,16,0,0,26,22,1334,1277,23,20,9,6,22,27,3,1,30,27,27,23,1,3,0,0,0,0,0,0,2,1,29,24,1,3,1,1,1,1,0,1
050,44,001,Rhode Island,Bristol County,1,2,3362,1749,1613,1675,1536,19,19,4,1,27,23,1,3,23,31,1698,1567,34,34,10,10,31,34,2,4,1724,1593,1652,1518,18,19,4,1,27,23,0,2,23,30,1675,1548,33,34,10,9,31,33,1,2,25,20,23,18,1,0,0,0,0,0,1,1,0,1,23,19,1,0,0,1,0,1,1,2
050,44,001,Rhode Island,Bristol County,1,3,3503,1830,1673,1768,1626,22,13,3,2,16,16,2,1,19,15,1786,1641,29,17,10,5,21,25,6,1,1804,1647,1746,1602,22,12,3,2,14,15,2,1,17,15,1762,1617,28,16,8,5,18,24,5,1,26,26,22,24,0,1,0,0,2,1,0,0,2,0,24,24,1,1,2,0,3,1,1,0
050,44,001,Rhode Island,Bristol County,1,4,3963,1959,2004,1886,1910,17,32,8,4,27,31,0,2,21,25,1906,1935,24,37,13,10,35,45,2,2,1922,1962,1855,1877,14,26,7,3,27,30,0,2,19,24,1873,1901,20,30,11,9,35,44,2,2,37,42,31,33,3,6,1,1,0,1,0,0,2,1,33,34,4,7,2,1,0,1,0,0
050,44,001,Rhode Island,Bristol County,1,5,2867,1523,1344,1442,1285,31,17,10,6,22,19,0,0,18,17,1459,1302,38,20,11,9,32,28,1,2,1480,1321,1406,1267,28,14,9,5,22,19,0,0,15,16,1420,1283,32,16,10,8,32,28,1,2,43,23,36,18,3,3,1,1,0,0,0,0,3,1,39,19,6,4,1,1,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,6,2472,1203,1269,1156,1229,15,17,2,2,21,14,1,1,8,6,1163,1234,17,18,5,3,24,18,2,3,1182,1250,1138,1215,13,14,1,2,21,13,1,0,8,6,1145,1220,15,15,4,3,24,17,2,2,21,19,18,14,2,3,1,0,0,1,0,1,0,0,18,14,2,3,1,0,0,1,0,1
050,44,001,Rhode Island,Bristol County,1,7,2964,1477,1487,1439,1436,14,11,4,4,13,21,0,2,7,13,1445,1445,16,19,6,9,17,24,0,4,1458,1469,1421,1420,13,10,4,3,13,21,0,2,7,13,1427,1429,15,18,6,8,17,24,0,4,19,18,18,16,1,1,0,1,0,0,0,0,0,0,18,16,1,1,0,1,0,0,0,0
050,44,001,Rhode Island,Bristol County,1,8,4066,1902,2164,1839,2124,20,14,5,1,25,14,3,0,10,11,1847,2135,21,15,11,4,28,17,6,4,1879,2139,1820,2102,20,12,2,1,25,13,3,0,9,11,1828,2113,21,13,7,4,27,16,5,4,23,25,19,22,0,2,3,0,0,1,0,0,1,0,19,22,0,2,4,0,1,1,1,0
050,44,001,Rhode Island,Bristol County,1,9,4389,2132,2257,2083,2205,18,3,4,6,23,34,0,0,4,9,2087,2214,18,4,5,10,24,38,2,0,2110,2237,2064,2187,15,3,4,5,23,33,0,0,4,9,2068,2196,15,4,5,9,24,37,2,0,22,20,19,18,3,0,0,1,0,1,0,0,0,0,19,18,3,0,0,1,0,1,0,0
