SUMLEV,STATE,COUNTY,STNAME,CTYNAME,YEAR,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
050,34,001,New Jersey,Atlantic County,1,0,252552,122074,130478,91176,96571,22108,25124,402,409,6759,6511,92,91,1537,1772,92395,97976,22981,26150,947,1059,7234,7024,164,186,106246,115577,77984,84380,20074,23028,212,234,6659,6417,43,37,1274,1481,78970,85529,20734,23837,679,784,7109,6894,108,118,15828,14901,13192,12191,2034,2096,190,175,100,94,49,54,263,291,13425,12447,2247,2313,268,275,125,130,56,68
050,34,001,New Jersey,Atlantic County,1,1,16483,8297,8186,5590,5531,1888,1837,32,30,514,511,9,12,264,265,5817,5762,2058,2009,88,81,598,590,17,26,6727,6561,4351,4226,1637,1598,10,18,501,494,2,3,226,222,4549,4417,1780,1737,50,55,578,568,10,15,1570,1625,1239,1305,251,239,22,12,13,17,7,9,38,43,1268,1345,278,272,38,26,20,22,7,11
050,34,001,New Jersey,Atlantic County,1,2,19133,9755,9378,6553,6288,2399,2359,38,35,531,448,4,9,230,239,6754,6496,2554,2521,85,91,590,508,14,15,8100,7799,5206,5044,2167,2100,19,14,516,442,1,1,191,198,5372,5215,2286,2233,61,57,571,497,10,6,1655,1579,1347,1244,232,259,19,21,15,6,3,8,39,41,1382,1281,268,288,24,34,19,11,4,9
050,34,001,New Jersey,Atlantic County,1,3,18346,9403,8943,6411,6139,2282,2137,30,30,492,434,7,10,181,193,6560,6303,2405,2260,80,81,538,488,14,16,7989,7677,5259,5137,2063,1932,16,12,489,431,4,5,158,160,5387,5273,2167,2030,59,50,534,481,10,11,1414,1266,1152,1002,219,205,14,18,3,3,3,5,23,33,1173,1030,238,230,21,31,4,7,4,5
050,34,001,New Jersey,Atlantic County,1,4,15966,8195,7771,5563,5376,1958,1826,33,30,476,385,11,8,154,146,5687,5496,2050,1915,90,80,520,423,15,19,6799,6577,4421,4427,1762,1633,14,14,470,379,1,3,131,121,4523,4526,1835,1703,63,55,513,416,5,12,1396,1194,1142,949,196,193,19,16,6,6,10,5,23,25,1164,970,215,212,27,25,7,7,10,7
050,34,001,New Jersey,Atlantic County,1,5,14294,7176,7118,5234,4976,1434,1577,28,27,393,402,11,8,76,128,5298,5079,1478,1648,56,64,414,447,14,17,5585,5818,3893,3911,1228,1393,13,12,390,397,6,2,55,103,3938,3994,1253,1444,35,40,410,440,9,8,1591,1300,1341,1065,206,184,15,15,3,5,5,6,21,25,1360,1085,225,204,21,24,4,7,5,9
050,34,001,New Jersey,Atlantic County,1,6,15591,7516,8075,5470,5478,1387,1849,37,27,521,599,9,7,92,115,5544,5562,1439,1912,69,67,547,639,14,16,5963,6606,4133,4275,1233,1633,15,13,514,587,3,3,65,95,4183,4342,1262,1679,41,47,538,626,7,12,1553,1469,1337,1203,154,216,22,14,7,12,6,4,27,20,1361,1220,177,233,28,20,9,13,7,4
050,34,001,New Jersey,Atlantic County,1,7,18035,8752,9283,6386,6596,1606,1891,40,42,626,644,8,3,86,107,6452,6681,1644,1951,75,79,656,678,16,8,7169,7836,5043,5390,1427,1717,16,19,613,631,4,1,66,78,5089,5449,1450,1754,45,50,642,659,12,4,1583,1447,1343,1206,179,174,24,23,13,13,4,2,20,29,1363,1232,194,197,30,29,14,19,4,4
050,34,001,New Jersey,Atlantic County,1,8,21798,10792,11006,8096,8062,1848,2141,34,35,717,649,5,4,92,115,8164,8155,1889,2201,84,83,745,680,9,9,9327,9724,6846,6986,1677,1975,21,21,704,642,4,2,75,98,6899,7063,1706,2022,64,63,730,672,7,7,1465,1282,1250,1076,171,166,13,14,13,7,1,2,17,17,1265,1092,183,179,20,20,15,8,2,2
050,34,001,New Jersey,Atlantic County,1,9,21908,10819,11089,8357,8310,1653,2001,43,38,669,627,8,8,89,105,8413,8383,1699,2053,85,101,701,657,15,11,9756,9970,7464,7390,1520,1842,31,26,663,619,7,4,71,89,7505,7449,1552,1884,67,82,694,646,12,7,1063,1119,893,920,133,159,12,12,6,8,1,4,18,16,908,934,147,169,18,19,7,11,3,4
050,34,001,New Jersey,Atlantic County,1,10,18186,9025,9161,7020,6995,1334,1507,29,23,562,532,3,9,77,95,7075,7056,1361,1554,73,84,590,560,9,14,8246,8445,6373,6390,1232,1418,17,17,556,529,1,7,67,84,6421,6442,1251,1459,58,73,582,552,6,10,779,716,647,605,102,89,12,6,6,3,2,2,10,11,654,614,110,95,15,11,8,8,3,4
050,34,001,New Jersey,Atlantic County,1,11,15686,7618,8068,6081,6266,1053,1324,20,21,390,374,7,7,67,76,6127,6320,1076,1364,59,70,417,393,12,9,7056,7467,5624,5755,977,1259,10,14,386,371,4,1,55,67,5659,5802,993,1292,44,58,410,389,9,3,562,601,457,511,76,65,10,7,4,3,3,6,12,9,468,518,83,72,15,12,7,4,3,6
050,34,001,New Jersey,Atlantic County,1,12,12345,5883,6462,4635,5037,879,1055,14,23,305,287,4,4,46,56,4662,5071,900,1081,40,56,323,303,7,9,5472,6049,4281,4693,837,1007,9,14,302,284,2,3,41,48,4303,4719,853,1026,34,44,320,300,5,8,411,413,354,344,42,48,5,9,3,3,2,1,5,8,359,352,47,55,6,12,3,3,2,1
050,34,001,New Jersey,Atlantic County,1,13,10344,4809,5535,3808,4333,721,941,10,15,237,212,1,1,32,33,3832,4354,736,953,27,36,250,221,1,5,4496,5245,3534,4088,690,906,10,12,234,209,1,1,27,29,3553,4105,700,917,27,31,247,217,1,5,313,290,274,245,31,35,0,3,3,3,0,0,5,4,279,249,36,36,0,5,3,4,0,0
050,34,001,New Jersey,Atlantic County,1,14,9250,4279,4971,3549,4037,554,743,8,11,143,157,2,1,23,22,3563,4056,567,750,20,22,151,162,3,4,4072,4739,3362,3833,540,722,7,9,140,157,1,1,22,17,3375,3848,552,725,19,19,148,162,2,3,207,232,187,204,14,21,1,2,3,0,1,0,1,5,188,208,15,25,1,3,3,0,1,1
050,34,001,New Jersey,Atlantic County,1,15,8982,3917,5065,3310,4250,496,661,2,11,93,119,0,0,16,24,3324,4267,502,673,6,22,102,128,0,1,3782,4885,3199,4094,474,642,2,10,93,116,0,0,14,23,3211,4110,479,654,5,21,102,124,0,1,135,180,111,156,22,19,0,1,0,3,0,0,2,1,113,157,23,19,1,1,0,4,0,0
050,34,001,New Jersey,Atlantic County,1,16,7369,2996,4373,2609,3756,323,518,2,6,55,68,1,0,6,25,2613,3775,327,532,4,19,56,74,2,4,2923,4273,2542,3672,320,507,1,5,53,67,1,0,6,22,2546,3688,324,519,3,17,54,73,2,3,73,100,67,84,3,11,1,1,2,1,0,0,0,3,67,87,3,13,1,2,2,1,0,1
